City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,misawa,40.6836,141.3597,280.15,70,95,5.05,JP,1706673080
371,point pedro,9.8167,80.2333,300.28,78,92,4.76,LK,1706673080
372,aras-asan,8.8908,126.3033,299.53,89,100,5.53,PH,1706673080
373,mtambile,-5.3833,39.7,299.86,81,99,4.42,TZ,1706673029
374,novyy urgal,51.0736,132.5642,248.9,84,96,0.29,RU,1706673081
375,mandera,3.9366,41.867,298.94,64,48,2.53,KE,1706673081
376,keflavik,64.0049,-22.5624,270.39,93,75,11.83,IS,1706672961
377,pangkalanbuun,-2.6833,111.6167,298.45,95,100,0.97,ID,1706673082
378,malpica,43.3228,-8.8105,283.34,79,99,1.75,ES,1706673082
379,adre,13.4667,22.2,289.14,25,18,7.56,TD,1706673082
380,ouadda,8.0777,22.4007,292.41,21,100,2.73,CF,1706673082
381,port-vila,-17.7338,168.3219,302.93,70,75,3.09,VU,1706673080
382,gowurdak,37.8124,66.0466,275.21,69,5,2.69,TM,1706673083
383,quellon,-43.1167,-73.6167,287.33,93,96,2.39,CL,1706673083
384,woodend,-43.3167,172.6667,296.25,72,1,1.34,NZ,1706673083
385,salekhard,66.53,66.6019,256.93,97,100,2.69,RU,1706673084
386,sayaxche,16.5167,-90.1667,289.88,89,77,0.71,GT,1706673084
387,manta,-0.95,-80.7333,300.93,74,20,5.81,EC,1706673084
388,kulhudhuffushi,6.6221,73.07,300.96,73,74,2.7,MV,1706673084
389,san martin de los andes,-40.1604,-71.3486,286.84,73,69,2.7,AR,1706673085
390,nizhniy kuranakh,58.8353,125.4869,245.97,92,80,1.6,RU,1706673085
391,vila velha,-20.3297,-40.2925,300.12,94,0,3.6,BR,1706672805
392,serdar,38.9764,56.2757,273.94,73,10,2.69,TM,1706673085
393,haiku-pauwela,20.9219,-156.3051,295.1,93,75,3.09,US,1706673085
394,mudgal,16.0167,76.4333,297.29,39,43,4.22,IN,1706673086
395,merizo village,13.2658,144.6691,302.46,65,39,9.91,GU,1706673086
396,hue,16.4667,107.6,298.21,69,40,1.03,VN,1706673067
397,richards bay,-28.783,32.0377,295.13,84,2,1.1,ZA,1706672923
398,kavaratti,10.5669,72.642,300.77,67,16,2.76,IN,1706673087
399,george town,5.4112,100.3354,305.9,63,20,2.24,MY,1706672912
400,razole,16.4833,81.8333,299.15,57,15,1.63,IN,1706673088
401,naze,28.3667,129.4833,293.66,84,99,7.17,JP,1706673088
402,gadzhiyevo,69.2551,33.3362,273.62,74,100,15.39,RU,1706673088
403,arab,34.3182,-86.4958,284.07,90,33,4.84,US,1706673088
404,bikenibeu village,1.3673,173.1241,303.13,79,75,1.03,KI,1706673089
405,dul'durga,50.6761,113.5931,255.94,53,13,2.31,RU,1706673089
406,celestun,20.8667,-90.4,292.64,65,1,4.31,MX,1706673089
407,emerald,-23.5333,148.1667,307.67,48,81,2.5,AU,1706672880
